"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 12584"
"Critères de sélection =>";"Date de première alerte, de : 1996-01-01 00:00:00";"Date de première alerte, jusqu'à : 2000-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
1996;299;"07";"07099";"Gras";"1996-02-17 12:43:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1996;1546;"83";"83145";"Varages";"1996-02-17 13:37:00";30;14;14;0;;;;;;2;;;;;;;;""
1996;95;"06";"06006";"Aspremont";"1996-02-17 13:48:00";12000;5640;5760;0;;;;;;600;;"1";;;;;;""
1996;94;"06";"06157";"Vence";"1996-02-17 14:19:00";20000;9400;9600;0;;;;;;1000;;"3";;;;;;""
1996;1374;"48";"48119";"Prévenchères";"1996-02-17 15:18:00";30000;14100;14400;0;;;;;;1500;;"1";"Involontaire (travaux)";;;;;""
1996;412;"11";"11262";"Narbonne";"1996-02-17 15:22:00";60000;60000;0;;;;;;;;;"4";"Accidentelle";;;;;""
1996;1547;"83";"83063";"La Garde-Freinet";"1996-02-17 18:40:00";4000;1880;1920;0;;;;;;200;;"5";"Involontaire (travaux)";;;;;""
1996;96;"06";"06050";"Coursegoules";"1996-02-17 19:15:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1996;98;"06";"06150";"La Turbie";"1996-02-18 11:18:00";2000;940;960;0;;;;;;100;;"1";"Involontaire (travaux)";;;;;""
1996;525;"13";"13001";"Aix-en-Provence";"1996-02-18 12:24:00";10000;0;10000;;;;;;;;;"1";;;;;;""
1996;473;"13";"13001";"Aix-en-Provence";"1996-02-18 12:24:00";6000;0;6000;;;;;;;;;"1";;;;;;""
1996;65;"04";"04043";"Val-de-Chalvagne";"1996-02-18 13:16:00";500;0;500;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;1548;"83";"83012";"Barjols";"1996-02-18 13:43:00";100;47;48;0;;;;;;5;;"4";;;;;;""
1996;300;"07";"07132";"Largentière";"1996-02-18 16:17:00";3000;1410;1440;0;;;;;;150;;"1";;;;;;""
1996;99;"06";"06098";"Puget-Rostang";"1996-02-18 16:58:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1996;474;"13";"13080";"Le Puy-Sainte-Réparade";"1996-02-18 17:04:00";2000;0;2000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;100;"06";"06050";"Coursegoules";"1996-02-18 19:23:00";20000;9400;9600;0;;;;;;1000;;"3";;;;;;""
1996;1549;"83";"83096";"Pourcieux";"1996-02-19 16:28:00";500;235;240;0;;;;;;25;;;;;;;;""
1996;101;"06";"06017";"Bézaudun-les-Alpes";"1996-02-19 17:15:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1996;102;"06";"06050";"Coursegoules";"1996-02-19 18:41:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1996;103;"06";"06050";"Coursegoules";"1996-02-19 21:50:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1996;1550;"83";"83051";"Entrecasteaux";"1996-02-21 15:05:00";5000;2350;2400;0;;;;;;250;;"4";"Involontaire (travaux)";;;;;""
1996;301;"07";"07156";"Meyras";"1996-02-21 16:26:00";20000;9400;9600;0;;;;;;1000;;;;;;;;""
1996;1551;"83";"83086";"Le Muy";"1996-02-21 16:34:00";80;38;38;0;;;;;;4;;"5";;;;;;""
1996;1759;"84";"84019";"Bollène";"1996-02-21 18:05:00";100;0;100;;;;;;;;;"1";;;;;;""
1996;1281;"30";"30079";"Chambon";"1996-02-22 14:15:00";100000;47000;48000;0;;;;;;5000;;"1";"Involontaire (travaux)";;;;;""
1996;1553;"83";"83056";"Figanières";"1996-02-22 14:46:00";1500;705;720;0;;;;;;75;;"3";;;;;;""
1996;1552;"83";"83107";"Roquebrune-sur-Argens";"1996-02-22 18:32:00";100;47;48;0;;;;;;5;;;;;;;;""
1996;475;"13";"13112";"Velaux";"1996-02-22 19:15:00";100;0;100;;;;;;;;;;;;;;;""
1996;1554;"83";"83134";"Taradeau";"1996-02-23 09:35:00";10;5;5;0;;;;;;0;;"3";;;;;;""
1996;104;"06";"06104";"Roquebrune-Cap-Martin";"1996-02-23 11:03:00";600;282;288;0;;;;;;30;;"1";;;;;;""
1996;106;"06";"06088";"Nice";"1996-02-23 15:14:00";600;282;288;0;;;;;;30;;"1";;;;;;""
1996;1555;"83";"83063";"La Garde-Freinet";"1996-02-23 15:30:00";600;282;288;0;;;;;;30;;"3";"Involontaire (travaux)";;;;;""
1996;105;"06";"06075";"Levens";"1996-02-23 15:37:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1996;302;"07";"07045";"Burzet";"1996-02-23 15:54:00";100000;47000;48000;0;;;;;;5000;;"1";;;;;;""
1996;133;"06";"06050";"Coursegoules";"1996-02-23 16:38:00";1500;705;720;0;;;;;;75;;"1";;;;;;""
1996;303;"07";"07266";"Sainte-Marguerite-Lafigère";"1996-02-24 11:42:00";20000;9400;9600;0;;;;;;1000;;"1";"Involontaire (travaux)";;;;;""
1996;1282;"30";"30198";"Les Plantiers";"1996-02-24 14:17:00";6000;0;6000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;304;"07";"07315";"La Souche";"1996-02-24 14:22:00";25000;11750;12000;0;;;;;;1250;;"1";"Involontaire (travaux)";;;;;""
1996;305;"07";"07210";"Saint-Andéol-de-Vals";"1996-02-24 14:55:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1996;1760;"84";"84044";"Entrechaux";"1996-02-24 15:18:00";15000;5000;10000;;;;;;;;;"1";;;;;;""
1996;1556;"83";"83004";"Les Arcs";"1996-02-24 16:10:00";1800;846;864;0;;;;;;90;;"4";"Involontaire (travaux)";;;;;""
1996;1375;"48";"48022";"Bédouès";"1996-02-24 17:29:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1996;107;"06";"06013";"Belvédère";"1996-02-25 14:44:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1996;1266;"26";"26193";"Montbrun-les-Bains";"1996-02-28 13:09:00";50000;23500;24000;0;;;;;;2500;;"1";;;;;;""
1996;1;"04";"04157";"Puimoisson";"1996-02-28 14:59:00";20000;0;20000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;476;"13";"13041";"Gardanne";"1996-02-28 16:05:00";5000;0;5000;;;;;;;;;"1";;;;;;""
1996;902;"2B";"2B241";"Poggio-Marinaccio";"1996-02-29 13:00:00";2000;940;960;0;;;;;;100;;"5";;;;;;""
1996;108;"06";"06091";"Peille";"1996-02-29 18:07:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1996;1557;"83";"83068";"Grimaud";"1996-02-29 18:45:00";100;47;48;0;;;;;;5;;;;;;;;""
1996;1558;"83";"83117";"Saint-Paul-en-Forêt";"1996-03-01 12:30:00";600;282;288;0;;;;;;30;;"5";;;;;;""
1996;109;"06";"06160";"Villeneuve-d'Entraunes";"1996-03-01 14:15:00";25000;11750;12000;0;;;;;;1250;;"1";"Involontaire (travaux)";;;;;""
1996;306;"07";"07118";"Laboule";"1996-03-01 14:21:00";15000;7050;7200;0;;;;;;750;;"1";;;;;;""
1996;1559;"83";"83072";"Lorgues";"1996-03-01 15:00:00";600;282;288;0;;;;;;30;;"4";"Involontaire (travaux)";;;;;""
1996;1560;"83";"83081";"Montauroux";"1996-03-01 15:01:00";1000;470;480;0;;;;;;50;;"4";;;;;;""
1996;2;"04";"04070";"Digne-les-Bains";"1996-03-01 15:29:00";30000;0;30000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;903;"2B";"2B167";"Montegrosso";"1996-03-01 17:00:00";4000;1880;1920;0;;;;;;200;;"1";;;;;;""
1996;3;"04";"04122";"Mirabeau";"1996-03-03 14:49:00";400000;0;400000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;110;"06";"06017";"Bézaudun-les-Alpes";"1996-03-03 20:49:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1996;446;"11";"11304";"Quillan";"1996-03-04 16:36:00";20000;0;20000;;;;;;;;;"1";"Accidentelle";;;;;""
1996;1561;"83";"83025";"Brue-Auriac";"1996-03-04 19:43:00";5000;2350;2400;0;;;;;;250;;"5";"Involontaire (travaux)";;;;;""
1996;1562;"83";"83136";"Le Thoronet";"1996-03-05 12:10:00";800;376;384;0;;;;;;40;;"4";"Involontaire (travaux)";;;;;""
1996;307;"07";"07282";"Saint-Pierre-de-Colombier";"1996-03-05 13:30:00";40000;18800;19200;0;;;;;;2000;;"1";;;;;;""
1996;111;"06";"06126";"Saint-Martin-du-Var";"1996-03-05 14:16:00";500;235;240;0;;;;;;25;;"1";;;;;;""
1996;113;"06";"06157";"Vence";"1996-03-05 14:35:00";40000;18800;19200;0;;;;;;2000;;"1";;;;;;""
1996;308;"07";"07001";"Accons";"1996-03-05 14:49:00";10000;0;10000;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
1996;445;"11";"11323";"Roquetaillade";"1996-03-05 14:57:00";20000;0;20000;;;;;;;;;"1";;;;;;""
1996;112;"06";"06116";"Saint-Auban";"1996-03-05 15:00:00";2000;940;960;0;;;;;;100;;"1";"Involontaire (travaux)";;;;;""
1996;413;"11";"11132";"Fabrezan";"1996-03-05 15:09:00";10000;10000;0;;;;;;;;;"4";"Involontaire (travaux)";;;;;""
1996;4;"04";"04217";"Thoard";"1996-03-05 15:20:00";35000;5000;30000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;441;"11";"11261";"Moux";"1996-03-05 15:23:00";200;0;200;;;;;;;;;"1";;;;;;""
1996;1267;"26";"26015";"Aubenasson";"1996-03-05 15:37:00";20000;20000;0;;;;;;;;;"6";"Involontaire (travaux)";;;;;""
1996;309;"07";"07331";"Vals-les-Bains";"1996-03-05 16:35:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1996;1563;"83";"83038";"Châteaudouble";"1996-03-05 17:02:00";3000;1410;1440;0;;;;;;150;;"4";;;;;;""
1996;310;"07";"07331";"Vals-les-Bains";"1996-03-05 17:11:00";15000;7050;7200;0;;;;;;750;;"1";;;;;;""
1996;1376;"48";"48075";"Ispagnac";"1996-03-05 20:49:00";20000;9400;9600;0;;;;;;1000;;"1";"Involontaire (travaux)";;;;;""
1996;114;"06";"06083";"Menton";"1996-03-06 05:59:00";40;19;19;0;;;;;;2;;"1";;;;;;""
1996;1761;"84";"84122";"Sarrians";"1996-03-06 11:50:00";2000;0;2000;;;;;;;;;"1";;;;;;""
1996;115;"06";"06148";"Tourrettes-sur-Loup";"1996-03-06 12:12:00";400;188;192;0;;;;;;20;;"1";;;;;;""
1996;1564;"83";"83031";"Le Cannet-des-Maures";"1996-03-06 13:18:00";300;141;144;0;;;;;;15;;;"Involontaire (travaux)";;;;;""
1996;1565;"83";"83135";"Tavernes";"1996-03-06 14:05:00";7000;3290;3360;0;;;;;;350;;"3";"Involontaire (travaux)";;;;;""
1996;311;"07";"07017";"Les Assions";"1996-03-06 14:19:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1996;1566;"83";"83004";"Les Arcs";"1996-03-06 14:43:00";2000;940;960;0;;;;;;100;;;"Involontaire (travaux)";;;;;""
1996;312;"07";"07251";"Saint-Joseph-des-Bancs";"1996-03-06 15:25:00";30000;0;30000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;313;"07";"07050";"Chambonas";"1996-03-06 15:26:00";200;94;96;0;;;;;;10;;"4";;;;;;""
1996;314;"07";"07277";"Saint-Michel-de-Boulogne";"1996-03-06 15:37:00";20000;9400;9600;0;;;;;;1000;;"6";;;;;;""
1996;116;"06";"06025";"Le Broc";"1996-03-06 16:23:00";3000;1410;1440;0;;;;;;150;;"1";;;;;;""
1996;66;"04";"04123";"Mison";"1996-03-06 18:36:00";1000;0;1000;;;;;;;;;"1";;;;;;""
1996;315;"07";"07045";"Burzet";"1996-03-06 19:50:00";15000;7050;7200;0;;;;;;750;;"1";;;;;;""
1996;477;"13";"13047";"Istres";"1996-03-07 10:35:00";1000;1000;0;;;;;;;;;"4";;;;;;""
1996;316;"07";"07045";"Burzet";"1996-03-07 13:30:00";150000;70500;72000;0;;;;;;7500;;"1";;;;;;""
1996;1567;"83";"83050";"Draguignan";"1996-03-07 14:50:00";100;47;48;0;;;;;;5;;;;;;;;""
1996;117;"06";"06132";"Saorge";"1996-03-08 01:15:00";90000;42300;43200;0;;;;;;4500;;"1";;;;;;""
1996;317;"07";"07045";"Burzet";"1996-03-08 07:30:00";500000;235000;240000;0;;;;;;25000;;"1";;;;;;""
1996;572;"2A";"2A330";"Ucciani";"1996-03-08 09:08:00";20000;0;20000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;904;"2B";"2B020";"Aregno";"1996-03-08 13:55:00";3000;1410;1440;0;;;;;;150;;"1";;;;;;""
1996;318;"07";"07156";"Meyras";"1996-03-08 13:58:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1996;1568;"83";"83073";"Le Luc";"1996-03-08 14:48:00";15000;7050;7200;0;;;;;;750;;"4";"Involontaire (travaux)";;;;;""
1996;1283;"30";"30159";"Le Martinet";"1996-03-08 14:54:00";30000;29000;1000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;118;"06";"06002";"Amirat";"1996-03-08 16:06:00";150;71;72;0;;;;;;7;;"5";;;;;;""
1996;119;"06";"06023";"Breil-sur-Roya";"1996-03-08 17:05:00";300;141;144;0;;;;;;15;;"3";;;;;;""
1996;319;"07";"07020";"Aubignas";"1996-03-08 17:14:00";3000;0;3000;;;;;;;;;"1";;;;;;""
1996;1269;"26";"26193";"Montbrun-les-Bains";"1996-03-09 11:23:00";20000;13000;7000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;120;"06";"06140";"Le Tignet";"1996-03-09 12:37:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1996;1569;"83";"83093";"Plan-d'Aups-Sainte-Baume";"1996-03-09 12:49:00";300;141;144;0;;;;;;15;;;;;;;;""
1996;121;"06";"06036";"Castillon";"1996-03-09 14:11:00";500;235;240;0;;;;;;25;;"3";;;;;;""
1996;1270;"26";"26200";"Montfroc";"1996-03-09 14:21:00";600000;282000;288000;0;;;;;;30000;;"1";"Involontaire (travaux)";;;;;""
1996;1570;"83";"83066";"Ginasservis";"1996-03-09 14:45:00";3000;1410;1440;0;;;;;;150;;"3";;;;;;""
1996;320;"07";"07045";"Burzet";"1996-03-09 15:35:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1996;321;"07";"07243";"Saint-Jacques-d'Atticieux";"1996-03-09 15:36:00";3000;1410;1440;0;;;;;;150;;"1";;;;;;""
1996;322;"07";"07140";"Lemps";"1996-03-09 16:20:00";3000;1410;1440;0;;;;;;150;;"1";;;;;;""
1996;1571;"83";"83069";"Hyères";"1996-03-09 17:00:00";300;141;144;0;;;;;;15;;;"Involontaire (particulier)";;;;;""
1996;323;"07";"07029";"Beaumont";"1996-03-10 12:09:00";90000;42300;43200;0;;;;;;4500;;"5";"Involontaire (travaux)";;;;;""
1996;124;"06";"06097";"Pierrefeu";"1996-03-10 12:34:00";800;376;384;0;;;;;;40;;"1";"Involontaire (travaux)";;;;;""
1996;1268;"26";"26097";"Cliousclat";"1996-03-10 14:32:00";5000;5000;0;;;;;;;;;"5";;;;;;""
1996;123;"06";"06088";"Nice";"1996-03-10 15:06:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1996;122;"06";"06064";"Gattières";"1996-03-10 15:10:00";80000;0;80000;;;;;;;;;"1";;;;;;""
1996;324;"07";"07294";"Saint-Sauveur-de-Cruzières";"1996-03-10 15:30:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1996;325;"07";"07091";"Fons";"1996-03-10 16:15:00";4000;1880;1920;0;;;;;;200;;"4";;;;;;""
1996;1572;"83";"83082";"Montferrat";"1996-03-10 16:20:00";10000;4700;4800;0;;;;;;500;;"4";"Involontaire (travaux)";;;;;""
1996;573;"2A";"2A324";"Tavera";"1996-03-10 18:38:00";3000;0;3000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;126;"06";"06072";"Ilonse";"1996-03-11 09:04:00";35000;16450;16800;0;;;;;;1750;;"4";;;;;;""
1996;125;"06";"06133";"Sauze";"1996-03-11 10:39:00";500;235;240;0;;;;;;25;;"1";;;;;;""
1996;1377;"48";"48015";"Pied-de-Borne";"1996-03-11 12:58:00";10000;4700;4800;0;;;;;;500;;"1";"Involontaire (travaux)";;;;;""
1996;1378;"48";"48117";"Pourcharesses";"1996-03-11 14:05:00";200000;50000;150000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;1762;"84";"84050";"Gordes";"1996-03-11 14:30:00";2000;2000;0;;;;;;;;;;;;;;;""
1996;23;"04";"04090";"Le Fugeret";"1996-03-11 14:59:00";15000;0;15000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;1379;"48";"48194";"Vialas";"1996-03-11 15:00:00";5000;2350;2400;0;;;;;;250;;"3";"Involontaire (travaux)";;;;;""
1996;70;"05";"05176";"Valserres";"1996-03-11 15:49:00";30000;10000;20000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;24;"04";"04075";"Entrepierres";"1996-03-11 15:55:00";800;0;800;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;25;"04";"04174";"Saint-Benoît";"1996-03-11 15:56:00";10000;0;10000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;1380;"48";"48051";"Le Collet-de-Dèze";"1996-03-11 16:25:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
1996;326;"07";"07149";"Marcols-les-Eaux";"1996-03-12 00:34:00";50000;0;50000;;;;;;;;;"1";;;;;;""
1996;327;"07";"07019";"Aubenas";"1996-03-12 11:25:00";1000;470;480;0;;;;;;50;;"4";;;;;;""
1996;1382;"48";"48075";"Ispagnac";"1996-03-12 12:11:00";4000;1880;1920;0;;;;;;200;;"1";"Involontaire (travaux)";;;;;""
1996;1574;"83";"83118";"Saint-Raphaël";"1996-03-12 12:20:00";600;282;288;0;;;;;;30;;;;;;;;""
1996;1578;"83";"83026";"Cabasse";"1996-03-12 13:00:00";2000;940;960;0;;;;;;100;;"4";"Involontaire (travaux)";;;;;""
1996;1285;"30";"30203";"Portes";"1996-03-12 13:52:00";10000;4700;4800;0;;;;;;500;;"4";;;;;;""
1996;1763;"84";"84121";"Sannes";"1996-03-12 14:11:00";100;0;100;;;;;;;;;"1";;;;;;""
1996;1381;"48";"48193";"Vebron";"1996-03-12 14:17:00";50000;23500;24000;0;;;;;;2500;;"1";"Involontaire (travaux)";;;;;""
1996;128;"06";"06051";"La Croix-sur-Roudoule";"1996-03-12 14:23:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1996;26;"04";"04208";"Simiane-la-Rotonde";"1996-03-12 14:39:00";5000;0;5000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;1284;"30";"30208";"Puechredon";"1996-03-12 14:55:00";2000;940;960;0;;;;;;100;;"1";;;;;;""
1996;1286;"30";"30153";"Malons-et-Elze";"1996-03-12 15:08:00";60000;28200;28800;0;;;;;;3000;;"1";;;;;;""
1996;1573;"83";"83042";"Cogolin";"1996-03-12 15:15:00";600;282;288;0;;;;;;30;;"5";"Involontaire (travaux)";;;;;""
1996;328;"07";"07058";"Chassiers";"1996-03-12 15:47:00";1950;917;936;0;;;;;;97;;"4";;;;;;""
1996;127;"06";"06050";"Coursegoules";"1996-03-12 15:50:00";4000;1880;1920;0;;;;;;200;;"1";;;;;;""
1996;27;"04";"04145";"Peipin";"1996-03-12 16:06:00";1000;0;1000;;;;;;;;;"1";;;;;;""
1996;444;"11";"11347";"Saint-Julia-de-Bec";"1996-03-12 16:23:00";5000;0;5000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;1577;"83";"83151";"Vins-sur-Caramy";"1996-03-12 16:30:00";15000;7050;7200;0;;;;;;750;;"4";"Involontaire (particulier)";;;;;""
1996;1575;"83";"83104";"Rians";"1996-03-12 16:40:00";10000;4700;4800;0;;;;;;500;;"3";"Involontaire (travaux)";;;;;""
1996;28;"04";"04070";"Digne-les-Bains";"1996-03-12 17:29:00";800;0;800;;;;;;;;;"1";;;;;;""
1996;1576;"83";"83055";"Fayence";"1996-03-12 17:34:00";3000;1410;1440;0;;;;;;150;;"4";;;;;;""
1996;29;"04";"04166";"Riez";"1996-03-12 18:39:00";500;0;500;;;;;;;;;"1";"Naturelle";;;;;""
1996;30;"04";"04166";"Riez";"1996-03-13 11:30:00";10000;0;10000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;135;"06";"06088";"Nice";"1996-03-13 11:37:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1996;1277;"26";"26254";"Pradelle";"1996-03-13 12:31:00";50000;25000;25000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;345;"07";"07318";"Tauriers";"1996-03-13 13:29:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1996;1383;"48";"48050";"Cocurès";"1996-03-13 14:02:00";200000;0;200000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;329;"07";"07281";"Saint-Péray";"1996-03-13 16:50:00";30000;30000;0;;;;;;;;;;;;;;;""
1996;31;"04";"04070";"Digne-les-Bains";"1996-03-13 16:50:00";800;0;800;;;;;;;;;"1";"Involontaire (particulier)";;;;;""
1996;330;"07";"07325";"Ucel";"1996-03-13 17:45:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1996;32;"04";"04110";"Mallemoisson";"1996-03-13 18:33:00";10000;0;10000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;331;"07";"07343";"Vinezac";"1996-03-13 18:46:00";500;235;240;0;;;;;;25;;"1";;;;;;""
1996;332;"07";"07189";"Ribes";"1996-03-13 18:50:00";500;235;240;0;;;;;;25;;"1";;;;;;""
1996;33;"04";"04008";"Annot";"1996-03-13 22:27:00";5000;0;5000;;;;;;;;;"1";;;;;;""
1996;129;"06";"06088";"Nice";"1996-03-14 18:15:00";600;282;288;0;;;;;;30;;"1";;;;;;""
1996;130;"06";"06120";"Saint-Étienne-de-Tinée";"1996-03-17 14:07:00";10000;4700;4800;0;;;;;;500;;"1";"Involontaire (travaux)";;;;;""
1996;131;"06";"06062";"Fontan";"1996-03-17 20:40:00";3000;1410;1440;0;;;;;;150;;"1";;;;;;""
1996;333;"07";"07062";"Chazeaux";"1996-03-18 11:44:00";1500;705;720;0;;;;;;75;;"1";;;;;;""
1996;132;"06";"06136";"Sospel";"1996-03-19 15:03:00";1000;470;480;0;;;;;;50;;"1";"Accidentelle";;;;;""
1996;34;"04";"04116";"Les Mées";"1996-03-21 14:40:00";800;0;800;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;1579;"83";"83090";"Ollioules";"1996-03-22 12:08:00";200;94;96;0;;;;;;10;;"4";;;;;;""
1996;1580;"83";"83081";"Montauroux";"1996-03-23 10:00:00";10000;4700;4800;0;;;;;;500;;"5";;;;;;""
1996;1384;"48";"48053";"Cubières";"1996-03-23 12:29:00";50000;23500;24000;0;;;;;;2500;;"1";"Involontaire (travaux)";;;;;""
