"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 12584"
"Critères de sélection =>";"Date de première alerte, de : 1996-01-01 00:00:00";"Date de première alerte, jusqu'à : 2000-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
1996;83;"06";"06070";"Gréolières";"1996-01-03 15:04:00";17000;7990;8160;0;;;;;;850;;"1";;;;;;""
1996;439;"11";"11386";"Talairan";"1996-01-27 14:45:00";8000;0;8000;;;;;;;;;"1";;;;;;""
1996;84;"06";"06023";"Breil-sur-Roya";"1996-01-31 17:26:00";2500;1175;1200;0;;;;;;125;;"5";;;;;;""
1996;438;"11";"11198";"Laure-Minervois";"1996-02-10 15:46:00";10000;0;10000;;;;;;;;;"1";"Involontaire (travaux)";;;;;""
1996;901;"2B";"2B255";"Quercitello";"1996-02-13 21:27:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1996;1757;"84";"84103";"Rustrel";"1996-02-14 13:15:00";5000;5000;0;;;;;;;;;;;;;;;""
1996;1543;"83";"83021";"Bras";"1996-02-14 13:35:00";15000;7050;7200;0;;;;;;750;;"4";"Involontaire (travaux)";;;;;""
1996;85;"06";"06157";"Vence";"1996-02-14 14:31:00";50000;23500;24000;0;;;;;;2500;;"1";;;;;;""
1996;86;"06";"06157";"Vence";"1996-02-14 15:57:00";55000;25850;26400;0;;;;;;2750;;"3";;;;;;""
1996;87;"06";"06050";"Coursegoules";"1996-02-14 17:10:00";80;38;38;0;;;;;;4;;"1";;;;;;""
1996;88;"06";"06050";"Coursegoules";"1996-02-14 17:30:00";80;38;38;0;;;;;;4;;"1";;;;;;""
1996;90;"06";"06017";"Bézaudun-les-Alpes";"1996-02-15 14:15:00";2000;940;960;0;;;;;;100;;"1";;;;;;""
1996;92;"06";"06157";"Vence";"1996-02-15 15:30:00";100000;47000;48000;0;;;;;;5000;;"3";"Involontaire (travaux)";;;;;""
1996;91;"06";"06050";"Coursegoules";"1996-02-15 15:46:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1996;89;"06";"06101";"Rigaud";"1996-02-15 16:36:00";5000;2350;2400;0;;;;;;250;;"3";;;;;;""
1996;1279;"30";"30022";"Aujac";"1996-02-16 15:15:00";10000;0;10000;;;;;;;;;"1";;;;;;""
1996;93;"06";"06157";"Vence";"1996-02-16 15:20:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1996;134;"06";"06058";"Escragnolles";"1996-02-16 15:22:00";35000;16450;16800;0;;;;;;1750;;"1";"Involontaire (travaux)";;;;;""
1996;1280;"30";"30132";"La Grand-Combe";"1996-02-16 18:21:00";10000;10000;0;;;;;;;;;"5";;;;;;""
1996;1758;"84";"84051";"Goult";"1996-02-17 10:15:00";600;0;600;;;;;;;;;"1";;;;;;""
1996;97;"06";"06122";"Saint-Jeannet";"1996-02-17 10:20:00";45000;21150;21600;0;;;;;;2250;;"3";;;;;;""
1996;1544;"83";"83071";"La Londe-les-Maures";"1996-02-17 11:39:00";200;94;96;0;;;;;;10;;"3";"Involontaire (travaux)";;;;;""
1996;1545;"83";"83004";"Les Arcs";"1996-02-17 12:07:00";30;14;14;0;;;;;;2;;"4";;;;;;""
