"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 16701"
"Critères de sélection =>";"Date de première alerte, de : 1976-01-01 00:00:00";"Date de première alerte, jusqu'à : 1980-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
1976;71;"06";"06118";"Saint-Cézaire-sur-Siagne";"1976-04-27 17:00:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1976;319;"07";"07147";"Malarce-sur-la-Thines";"1976-04-29 16:00:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1976;320;"07";"07024";"Banne";"1976-04-30 13:30:00";80000;37600;38400;0;;;;;;4000;;"3";"Involontaire (travaux)";;;;;""
1976;321;"07";"07213";"Saint-André-Lachamp";"1976-05-01 10:00:00";10000;4700;4800;0;;;;;;500;;"5";;;;;;""
1976;1905;"30";"30105";"Dourbies";"1976-05-01 11:00:00";120000;56400;57600;0;;;;;;6000;;"1";;;;;;""
1976;325;"07";"07321";"Thorrenc";"1976-05-01 12:30:00";5000;2350;2400;0;;;;;;250;;"1";"Involontaire (travaux)";;;;;""
1976;322;"07";"07161";"Montpezat-sous-Bauzon";"1976-05-01 13:30:00";100000;47000;48000;0;;;;;;5000;;"1";;;;;;""
1976;810;"11";"11408";"Verzeille";"1976-05-01 14:00:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1976;929;"13";"13106";"Septèmes-les-Vallons";"1976-05-01 17:07:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1976;334;"07";"07216";"Saint-Barthélemy-Grozon";"1976-05-02 01:00:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1976;68;"06";"06113";"Sainte-Agnès";"1976-05-02 10:00:00";50000;23500;24000;0;;;;;;2500;;"1";;;;;;""
1976;2363;"34";"34178";"Murviel-lès-Béziers";"1976-05-02 11:30:00";8000;3760;3840;0;;;;;;400;;"1";;;;;;""
1976;811;"11";"11323";"Roquetaillade";"1976-05-02 12:00:00";30000;14100;14400;0;;;;;;1500;;"1";;;;;;""
1976;1906;"30";"30033";"Beauvoisin";"1976-05-02 17:30:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1976;2829;"84";"84017";"Bédoin";"1976-05-02 17:30:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1976;2600;"83";"83048";"La Croix-Valmer";"1976-05-03 10:30:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
1976;928;"13";"13051";"Lançon-Provence";"1976-05-03 11:27:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1976;2443;"48";"48015";"Pied-de-Borne";"1976-05-03 13:00:00";30000;14100;14400;0;;;;;;1500;;;;;;;;""
1976;326;"07";"07174";"Peyraud";"1976-05-03 14:00:00";20000;9400;9600;0;;;;;;1000;;"1";"Involontaire (travaux)";;;;;""
1976;1908;"30";"30231";"Saint-André-de-Valborgne";"1976-05-03 14:30:00";1500000;705000;720000;0;;;;;;75000;;"3";"Involontaire (travaux)";;;;;""
1976;323;"07";"07254";"Saint-Julien-du-Serre";"1976-05-03 15:50:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1976;327;"07";"07293";"Saint-Romain-de-Lerps";"1976-05-03 16:00:00";2000;940;960;0;;;;;;100;;"1";;;;;;""
1976;324;"07";"07145";"Lussas";"1976-05-03 18:30:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1976;814;"11";"11386";"Talairan";"1976-05-03 21:00:00";60000;28200;28800;0;;;;;;3000;;"1";;;;;;""
1976;1907;"30";"30079";"Chambon";"1976-05-03 22:00:00";120000;56400;57600;0;;;;;;6000;;"1";;;;;;""
1976;2444;"48";"48119";"Prévenchères";"1976-05-04 00:00:00";400000;188000;192000;0;;;;;;20000;;;;;;;;""
1976;1180;"2B";"2B168";"Monticello";"1976-05-04 11:30:00";20000;9400;9600;0;;;;;;1000;;;;;;;;""
1976;328;"07";"07326";"Usclades-et-Rieutord";"1976-05-04 14:00:00";30000;14100;14400;0;;;;;;1500;;"1";;;;;;""
1976;2601;"83";"83007";"Aups";"1976-05-04 14:28:00";1000;470;480;0;;;;;;50;;"5";"Involontaire (particulier)";;;;;""
1976;930;"13";"13106";"Septèmes-les-Vallons";"1976-05-04 15:24:00";1700000;799000;816000;0;;;;;;85000;;"1";;;;;;""
1976;72;"06";"06140";"Le Tignet";"1976-05-04 17:40:00";5000;2350;2400;0;;;;;;250;;"1";;;;;;""
1976;2828;"84";"84130";"Suzette";"1976-05-04 18:15:00";20000;9400;9600;0;;;;;;1000;;"1";"Accidentelle";;;;;""
1976;815;"11";"11110";"Coustouge";"1976-05-04 19:00:00";50000;23500;24000;0;;;;;;2500;;"1";;;;;;""
1976;822;"11";"11389";"Terroles";"1976-05-05 11:15:00";8000000;3760000;3840000;0;;;;;;400000;;"1";"Malveillance";;;;;""
1976;812;"11";"11287";"Peyrolles";"1976-05-05 11:30:00";5000000;2350000;2400000;0;;;;;;250000;;"1";"Involontaire (travaux)";;;;;""
1976;329;"07";"07326";"Usclades-et-Rieutord";"1976-05-05 12:00:00";130000;61100;62400;0;;;;;;6500;;"1";;;;;;""
